Tipo	Criatura em Portugues	Criatura em Francês	Criatura em Inglês	Criatura em Espanhol	Imagem URL
Mascote	Koalak Sanguíneo	Koalak Sanguin	Bloody Koalak	Koalak sanguíneo	https://api.dofusdu.de/dofus3/v1/img/item/18030-128.png
Mascote	Kokulto	Kokulte	Snailmate	Lokulto	https://api.dofusdu.de/dofus3/v1/img/item/18091-128.png
Mascote	Krolimera	Kroliméa	Krolimea	Kolimira	https://api.dofusdu.de/dofus3/v1/img/item/18088-128.png
Mascote	Leopardo	Léopardo	Leopardo	Leopardo	https://api.dofusdu.de/dofus3/v1/img/item/18027-128.png
Mascote	Mãozinha	La Chose	Thing	Cosa	https://api.dofusdu.de/dofus3/v1/img/item/18139-128.png
Mascote	Mekaranguejo	Mékrabe	Mekrab	Mekrangrejo	https://api.dofusdu.de/dofus3/v1/img/item/18087-128.png
Mascote	Miaw	Chacha	Bow Meow	Miaumiau	https://api.dofusdu.de/dofus3/v1/img/item/18001-128.png
Mascote	Miaw angorá	Chacha Angora	Angora Bow Meow	Miaumiau de Angora	https://api.dofusdu.de/dofus3/v1/img/item/18050-128.png
Mascote	Miaw branco	Chacha Blanc	White Bow Meow	Miaumiau blanco	https://api.dofusdu.de/dofus3/v1/img/item/18009-128.png
Mascote	Miaw do gelo	Chacha des Glaces	Snow Bow Meow	Miaumiau de las nieves	https://api.dofusdu.de/dofus3/v1/img/item/18062-128.png
Mascote	Miaw tigrado	Chacha Tigré	Tabby Bow Meow	Miaumiau atigrado	https://api.dofusdu.de/dofus3/v1/img/item/18041-128.png
Mascote	Miawa ruiva	Chachatte Rousse	Ginger Bow Meowette	Miaumiau pelirroja	https://api.dofusdu.de/dofus3/v1/img/item/18040-128.png
Mascote	Miawyena	Chachyène	Bowzai	Miaumiena	https://api.dofusdu.de/dofus3/v1/img/item/18094-128.png
Mascote	Microsmoglob	Microsmoglob	Mikrosmoglob	Microsmoglob	https://api.dofusdu.de/dofus3/v1/img/item/18331-128.png
Mascote	Mini Wei	Mini Wa	Mini Wa	Mini wey	https://api.dofusdu.de/dofus3/v1/img/item/18028-128.png
Mascote	Minikrônio	Minikrone	Minikron	Minikornio	https://api.dofusdu.de/dofus3/v1/img/item/18114-128.png
Mascote	Minimino	Minimino	Minimino	Minimino	https://api.dofusdu.de/dofus3/v1/img/item/18021-128.png
Mascote	Miniminotot	Miniminotot	Miniminotot	Miniminotot	https://api.dofusdu.de/dofus3/v1/img/item/18049-128.png
Mascote	Molosk	Molosk	Molekound	Molocán	https://api.dofusdu.de/dofus3/v1/img/item/18147-128.png
Mascote	Mulerdo	Meulourd	Moowitty	Lubesado	https://api.dofusdu.de/dofus3/v1/img/item/18085-128.png
Mascote	Nomoon	Nomoon	Nomoon	Nomoon	https://api.dofusdu.de/dofus3/v1/img/item/18011-128.png
Mascote	Ornito	Platypus	Platypus	Orni	https://api.dofusdu.de/dofus3/v1/img/item/18077-128.png
Mascote	Paparneiro Celestial Jovem	Jeune Boufton Céleste	Young Celestial Gobbly	Joven jalatín celestial	https://api.dofusdu.de/dofus3/v1/img/item/18271-128.png
Mascote	Papatrool Branco	Booftrool blanc	White Gobbtrool	Jalatrool blanco	https://api.dofusdu.de/dofus3/v1/img/item/18308-128.png
Mascote	Pekefox	Tifoux	Minifoux	Pekefux	https://api.dofusdu.de/dofus3/v1/img/item/18037-128.png
Mascote	Pekefox Tigrado	Tifoux Tigré	Brindled Minifoux	Pekefux atigrado	https://api.dofusdu.de/dofus3/v1/img/item/18063-128.png
Mascote	Pekewabbit Kofome	Tiwabbit Kiafin	Tiwabbit Wosungwee	Pekewabbit hambriento	https://api.dofusdu.de/dofus3/v1/img/item/18051-128.png
Mascote	Peki	Péki	Peki	Peki	https://api.dofusdu.de/dofus3/v1/img/item/18012-128.png
Mascote	Pequeno Awaw Negro	Petit Chienchien Noir	Little Black Bow Wow	Pequeño wauwau negro	https://api.dofusdu.de/dofus3/v1/img/item/18010-128.png
Mascote	Pequeno Miaw Branco	Petit Chacha Blanc	Little White Bow Meow	Pequeño miaumiau blanco	https://api.dofusdu.de/dofus3/v1/img/item/18009-128.png
Mascote	Pequeno Miaw de Combate (GM)	Petit Chacha de Combat (MJ)	Small Combat Bow Meow (GM)	Pequeño miaumiau de combate (MJ)	https://api.dofusdu.de/dofus3/v1/img/item/18001-128.png
Mascote	Perfofo	Phortiche	Drhellbert	Perforábil	https://api.dofusdu.de/dofus3/v1/img/item/18097-128.png
Mascote	Pikada	Pykur	Sting	Otazo	https://api.dofusdu.de/dofus3/v1/img/item/18061-128.png
Mascote	Piuta Amarela	Pioute jaune	Yellow Piwin	Piotín amarillo	https://api.dofusdu.de/dofus3/v1/img/item/18023-128.png
Mascote	Piuta Azul	Pioute bleu	Blue Piwin	Piotín azul	https://api.dofusdu.de/dofus3/v1/img/item/18019-128.png
Mascote	Piuta Rosa	Pioute rose	Pink Piwin	Piotín rosa	https://api.dofusdu.de/dofus3/v1/img/item/18024-128.png
Mascote	Piuta Verde	Pioute vert	Green Piwin	Piotín verde	https://api.dofusdu.de/dofus3/v1/img/item/18026-128.png
Mascote	Piuta Vermelho	Pioute rouge	Red Piwin	Piotín rojo	https://api.dofusdu.de/dofus3/v1/img/item/18025-128.png
Mascote	Piuta Violeta	Pioute violet	Purple Piwin	Piotín violeta	https://api.dofusdu.de/dofus3/v1/img/item/18022-128.png
Mascote	Pulp	Ploup	Plop	Pulp	https://api.dofusdu.de/dofus3/v1/img/item/18086-128.png
Mascote	Quaquá	Kouin-Kouin	Quaquack	Kuakuá	https://api.dofusdu.de/dofus3/v1/img/item/18008-128.png
Mascote	Quaquá melhorado	Kouin-Kouin amélioré	Improved Quaquack	Kuakuá mejorado	https://api.dofusdu.de/dofus3/v1/img/item/18008-128.png
Mascote	Quaquá negro	Kouin-Kouin Noir	Black Quaquack	Kuakuá negro	https://api.dofusdu.de/dofus3/v1/img/item/18065-128.png
Mascote	Ratazete	Sourisette	Mouselet	Raratontilla	https://api.dofusdu.de/dofus3/v1/img/item/18082-128.png
Mascote	Raulor	Rauleur	Grauler	Kejicón	https://api.dofusdu.de/dofus3/v1/img/item/18084-128.png
Mascote	Ross	Ross	Ross	Ross	https://api.dofusdu.de/dofus3/v1/img/item/18044-128.png
Mascote	Scarakiri	Scarakiri	Scarakiri	Escarakiri	https://api.dofusdu.de/dofus3/v1/img/item/18083-128.png
Mascote	Serpeta	Serpète	Solid Plissken	Serpeta	https://api.dofusdu.de/dofus3/v1/img/item/18079-128.png
Mascote	Shushu de Rushu	Shushu de Rushu	Rushu's Shushu	Fab'huritu de Rushu	https://api.dofusdu.de/dofus3/v1/img/item/18052-128.png
Mascote	Snufle	Snouffle	Snoofle	Snoofle	https://api.dofusdu.de/dofus3/v1/img/item/18098-128.png
Mascote	Superpoderoso Miaw de Combate (GM)	Surpuissant Chacha de Combat (MJ)	Ultra-powerful Combat Bow Meow (GM)	Superpoderoso miaumiau de combate (MJ)	https://api.dofusdu.de/dofus3/v1/img/item/18001-128.png
Mascote	Tanuk	Tanuk	Tanuk	Tanuk	https://api.dofusdu.de/dofus3/v1/img/item/18111-128.png
Mascote	Tarzântula	Raknaille	Tarzantula	Araknuza	https://api.dofusdu.de/dofus3/v1/img/item/18058-128.png
Mascote	Texofo	Blérodoudou	Brockheart	Tejaluche	https://api.dofusdu.de/dofus3/v1/img/item/18075-128.png
Mascote	Ticham	Titcham	Ratcham	Pekatcham	https://api.dofusdu.de/dofus3/v1/img/item/18117-128.png
Mascote	Tirubim	Tirubim	Kerubaby	Kerubebé	https://api.dofusdu.de/dofus3/v1/img/item/18116-128.png
Mascote	Tofu Congelado	Tofu Givré	Frozen Tofu	Tofu helado	https://api.dofusdu.de/dofus3/v1/img/item/18081-128.png
Mascote	Tofu Panceps Gowdo	Gwo Tofu Ventripotent	Plump Tofurby	Gwan tofu gowdinflón	https://api.dofusdu.de/dofus3/v1/img/item/18072-128.png
Mascote	Tofulminado	Tofoudre	Tofrazzle	Tofucilazo	https://api.dofusdu.de/dofus3/v1/img/item/18060-128.png
Mascote	Tofuma	Tofüm	Tofume	Tofuma	https://api.dofusdu.de/dofus3/v1/img/item/18078-128.png
Mascote	Tubola	Tatouf	Tatouh	Armadinho	https://api.dofusdu.de/dofus3/v1/img/item/18100-128.png
Mascote	Tukaos	Toukancre	Toucantankerous	Tukankón	https://api.dofusdu.de/dofus3/v1/img/item/18092-128.png
Mascote	Vampyrina	Vampyrette	Vampyrina	Vampyrilla	https://api.dofusdu.de/dofus3/v1/img/item/18053-128.png
Mascote	Wabbit	Wabbit	Wabbit	Wabbit	https://api.dofusdu.de/dofus3/v1/img/item/18007-128.png
Mascote	Walk	Walk	Pingoku	Walk	https://api.dofusdu.de/dofus3/v1/img/item/18038-128.png
Mascote	Willy, o Mala	Willy le Relou	Willy Peninzias	Willy, el Plasta	https://api.dofusdu.de/dofus3/v1/img/item/18029-128.png
Montascote	Alagah	Dehluge	Dehluge	Xaparón	https://api.dofusdu.de/dofus3/v1/img/item/121006-128.png
Montascote	Cicatorpe	Balafreux	Razorbuck	Suskrofa	https://api.dofusdu.de/dofus3/v1/img/item/121004-128.png
Montascote	Dragoloko	Dragouf	Madreggon	Dragrillado	https://api.dofusdu.de/dofus3/v1/img/item/121000-128.png
Montascote	Fugarto	Zarfuyar	Ziplizard	Lagartiro	https://api.dofusdu.de/dofus3/v1/img/item/121137-128.png
Montascote	Javóquero	Sakochère	Boarhog	Sakóquero	https://api.dofusdu.de/dofus3/v1/img/item/121003-128.png
Montascote	Katomor	Kougnard	Skrot	Mortiélago	https://api.dofusdu.de/dofus3/v1/img/item/121014-128.png
Montascote	Katomor de Alabastro	Kougnard Albâtre	Alabaster Skrot	Mortiélago alabastrado	https://api.dofusdu.de/dofus3/v1/img/item/121019-128.png
Montascote	Kema	Brûlih	Brulay	Hardo	https://api.dofusdu.de/dofus3/v1/img/item/121008-128.png
Montascote	Kobrápida	Kobrapid	Kobrapid	Kobraviva	https://api.dofusdu.de/dofus3/v1/img/item/121136-128.png
Montascote	Kolifante de Lexandre	Koliphant de Lexandre	Lexander's Kolophant	Kolifante de Lejandro	https://api.dofusdu.de/dofus3/v1/img/item/121133-128.png
Montascote	Kolifante de Tarkago	Koliphant de Tarkaj	Tarkaj Kolophant	Kolifante de Kartago	https://api.dofusdu.de/dofus3/v1/img/item/121131-128.png
Montascote	Kolifante Mamukil	Koliphant Mamukil	Mamukil Kolophant	Kolifante mamuk	https://api.dofusdu.de/dofus3/v1/img/item/121134-128.png
Montascote	Kolifante Zenusha	Koliphant Zenusha	Zenusha Kolophant	Kolifante zenusha	https://api.dofusdu.de/dofus3/v1/img/item/121132-128.png
Montascote	Kramkram	Kramkram	Karmeleon	Kramkram	https://api.dofusdu.de/dofus3/v1/img/item/121002-128.png
Montascote	Kwalteza	Kwaltess	Kwyness	Kwalteza	https://api.dofusdu.de/dofus3/v1/img/item/121009-128.png
Montascote	Metiodent	Hurledent	Slayhound	Dekarbón	https://api.dofusdu.de/dofus3/v1/img/item/121001-128.png
Montascote	Montaria do Venerável	Monture du Vénérable	The Venerable One's Mount	Montura del Venerable	https://api.dofusdu.de/dofus3/v1/img/item/121164-128.png
Montascote	Oduba	Kompost	Kompost	Kompost	https://api.dofusdu.de/dofus3/v1/img/item/121007-128.png
Montascote	Pacastor	Bouftor	Gobbalator	Jalacástor	https://api.dofusdu.de/dofus3/v1/img/item/121021-128.png
Montascote	Papólux	Bouflux	Gobbalux	Jalapólux	https://api.dofusdu.de/dofus3/v1/img/item/121022-128.png
Montascote	Perforror	Phorror	Drhexler	Perforror	https://api.dofusdu.de/dofus3/v1/img/item/121010-128.png
Montascote	Siroko	Siroko	Sirocco	Siroko	https://api.dofusdu.de/dofus3/v1/img/item/121005-128.png
Montascote	Taivoga	Gowelan	Kwismas Gull	Gavioto	https://api.dofusdu.de/dofus3/v1/img/item/121135-128.png
Montascote	Tarticoli	Tortikoli	Tortikoli	Tortikoli	https://api.dofusdu.de/dofus3/v1/img/item/121069-128.png
Montascote	Teh'Niak	Teh'Niak	Tae'Niak	Tae'Niak	https://api.dofusdu.de/dofus3/v1/img/item/121070-128.png
